Block 6 (size 2299)
+-------+---------------------------+---------------------------------------------+------------+------------+-----------------------------------------+
|       | handle                    | display_name                                |   fs_count |   fg_count | description                             |
| 10729 | martinkl.com              | Martin Kleppmann      |        523 |         39 | Researcher in distri     |
|  9720 | bnewbold.net              | bryan newbold         |        826 |        188 | dweb, cycling, snow,     |
|     0 | wang.social               | Peter W🤓             |        473 |         96 | Anaconda, Python, Py     |
| 11100 | chris.bsky.social         | Chris Painter         |        985 |        448 | Semiconductors Makin     |
|    24 | tom.bsky.social           | Myspace Tom           |       1075 |        264 | former social media      |
| 10733 | amir.blue                 | Amir Shevat           |        558 |        108 | Angel investor in de     |
|     1 | zoink.bsky.social         | Dylan Field           |       1209 |       1291 | CEO at Figma             |
| 11102 | vibes.bsky.social         | Vibes                 |        537 |        216 | pure vibes. nothing      |
| 11084 | jim.bsky.social           | wwwjim                |        444 |        120 | https://jimmyl.ee        |
|  9731 | jakegold.us               | Jake Gold             |        961 |        955 | Infra Engineer @ Blu     |
|   128 | katherine.bsky.social     | Katherine Champagne   |        589 |        696 |                          |
|  9687 | bmann.ca                  | Boris                 |        428 |        481 | Building Fission htt     |
|  9671 | chrismessina.bsky.social  | Chris Messina         |        351 |         55 |                          |
| 11109 | alexyoungkwon.bsky.social | Alex Kwon             |       1139 |       6194 | building tiny blogs      |
| 11098 | saz.bsky.social           | Sarah Azouvi          |        437 |         67 | Building kubiprotoco     |
|  9568 | ma.tt                     | Matt Mullenweg        |        437 |         10 | Co-founder of WordPr     |
|  9764 | case.bsky.social          | Case NY Edition       |        393 |         72 | Sloth. Thought marin     |
|  8712 | rabble.nz                 | Rabble                |        256 |         49 | Hacker, anarchist, t     |
| 10718 | axz.bsky.social           | Amy Zhang             |        322 |         52 | Professor of social      |
|  9810 | support.bsky.team         | Bluesky Support       |       1115 |          7 | Official support acc     |
|  1959 | bsky.app                  | Bluesky               |       2225 |          9 | Official bluesky acc     |
|  9677 | nr.bsky.social            | Nick 🌌               |        420 |        358 | Interested in softwa     |
| 10721 | jack-frazee.bsky.social   | Jack Frazee           |        377 |        305 | Let’s get weird with     |
|  9708 | wills.co.tt               | willscott             |        249 |         66 | Web Hacker               |
| 11079 | arathorn.net              | Matthew Hodgson       |        254 |         38 | project lead matrix.     |
| 10714 | mtclai.bsky.social        | michael lai           |        359 |        105 | abundant housing, ed     |
|  9655 | john.bsky.social          | John Backus           |        323 |         16 |                          |
|  8866 | sho.bsky.social           | Shokunin              |        758 |       4695 | Founder of @DNS. Cry     |
|  9815 | ant.bsky.social           | Ant                   |        462 |        790 | 📚🚲  Public access to   |
|  9669 | steph.bsky.social         | kasteph               |        292 |         38 | formerly a cpu (cat      |
|  9599 | brockm.bsky.social        | Mike Brock            |        201 |        142 |                          |
|  9684 | jeremie.com               | Jer🫶                  |        173 |         12 | Dream things. Make t     |
| 11090 | klatz.co                  | ian                   |        323 |        146 | berlin/seattle.vr dd     |
|  9695 | jiajiah.bsky.social       | Jia ▫️                 |        233 |        278 | Social computing res     |
|  9611 | jik.wtf                   | Jik🃏                 |        715 |       1308 | cyber incident respo     |
|  9605 | jb55.bsky.social          | William Casarin       |        238 |         14 | bitcoin core & nostr     |
|  9689 | brooklyn.bsky.social      | Brooklyn Zelenka      |        158 |         17 | Programs with functi     |
|  8694 | ansh.bsky.team            | Ansh                  |        552 |         92 |                          |
